English,Persian,Source
the childs permission is also required for leaving a religion,همچنین برای جدا شدن از یک فرقه مذهبی نیز نیاز به اجازه خود او می باشد,infopankki
the child of a divorced couple has the right to refuse to meet one of his or her parents,فرزندان طلاق حق دارند که از ملاقات یکی از والدین خود امتناع کنند,infopankki
a child can not be adopted without his or her consent,بدون موافقت خود کودک نمی توان او را به فرزند خواندگی پذیرفت,infopankki
if there are problems in the family a child can request for foster care themselves,در صورتیکه در داخل خانواده مشکلاتی وجود داشته باشد فرزند خانواده می تواند درخواست کند که تحت سرپرستی افرادی غیر از والدین خود قرار گیرد,infopankki
foster care means that a child does not live with his or her parents but elsewhere,بدین مفهوم که کودک یا نوجوان در جایی غیر از نزد والدین خود سکونت می کند,infopankki
a child can no longer ride a bicycle on the pavement,پس از رسیدن به این سن کودکان حق ندارند در پیاده روها دوچرخه سواری کنند,infopankki
14 years,14 سالگی,infopankki
a child can engage in light work for a few hours a day if it does not hinder his or her health or school going,نوجوان چهارده ساله می تواند هر روزه بمدت چند ساعت کار سبکی را انجام دهد البته در صورتیکه انجام کار مذکور به سلامتی و تحصیل وی لطمه ای نزند,infopankki
a guardians signature is required for the childs contract of employment,برای عقد قرارداد کاری نیاز به امضای سرپرست وی میباشد,infopankki
15 years,15 سالگی,infopankki
a youth can enter into a contract of employment themselves,نوجوان می تواند شخصا قرارداد کاری عقد کند,infopankki
parents can however dissolve the agreement of a youth under the age of 18 if the youth has not told them about the job,البته والدین وی میتوانند قرارداد کاری فرزند خود را درصورتیکه فرزندشان در این باره به انها خبر نداده باشد لغو کنند,infopankki
a youth has the right to open a bank account and to control the capital he or she has earned through working,نوجوان حق باز کردن حساب را داشته و می تواند بر دارایی حاصل از انجام کار خود نظارت داشته باشد,infopankki
after a youth has completed compulsory education he or she may work fulltime between the hours of 600 and 2200,پس از اتمام تحصیلات اجباری نوجوان می تواند بین ساعات 22 00 6 00 به انجام کار تمام وقت بپردازد,infopankki
a youth can take a test that allows him or her to drive a moped tractor or motorboat,نوجوان می تواند در این سن گواهینامه رانندگی با موتور گازی تراکتور و قایق موتوری را بگیرد,infopankki
a youth can carry a child under 10 years of age on a bicycle,نوجوان پانزده ساله اجازه دارد که ضمن دوچرخه سواری کودکان دارای سن کمتر از 10 سال را روی ترک دوچرخه خود سوار کند,infopankki
a youth can join a religion or leave one on his or her parents written permission,در این سن نوجوان می تواند با داشتن اجازه کتبی از والدین خود به فرقه ای مذهبی ملحق شده و یا از ان جدا شود,infopankki
obligation,وظایف,infopankki
a youth is responsible for the crimes he or she has committed,جوان پانزده ساله در مقابل جرایمی که انجام می دهد مسیول میباشد,infopankki
if a youth commits a crime he or she may be prosecuted and sentenced for it,در صورتیکه فرد جوان مرتکب جرمی شود ممکن است که مورد اتهام قرار گرفته و بر علیه وی حکم صادر شود,infopankki
16 years,16 سالگی,infopankki
childrens sexual age of consent is 16 years,16 سالگی مرز سنی محافظت جنسی کودکان می باشد,infopankki
this means that sexual activity with a person under the age of 16 is a punishable act with the exception of the mutual sexual relationship of two youths who are at the same level of development,مفهموم این امر این است که هر گونه رابطه جنسی با فردی که زیر 16 سال سن دارد قابل مجازات می باشد از جمله موارد استثناا در این رابطه وجود رابطه جنسی ما بین دو فرد جوانی است که تقریبا در یک مرحله از رشد قرار دارند,infopankki
buying sexual services from a person who is under 18 years of age is a crime,خریداری رابطه جنسی با فردی که زیر 18 سال سن دارد جرم محسوب می شود,infopankki
the right to take a test and after passing receive a class a driving licence which is required for driving a light motorcycle,در این سن میتوان گواهینامه را که برای راندن موتورسیکلت های سبک لازم می باشد را دریافت کرد,infopankki
the right to their own personal health insurance card,فرد جوان شانزده ساله از حق دریافت کارت شخصی بیمه درمانی برخوردار است,infopankki
this means that a 16yearold youth is insured against old age unemployment and incapacity for work and that any reimbursement under the health insurance is paid to the youth and not for example to the parents,بدین مفهموم که جوان 16 ساله در مقابل کهولت بیکاری و عدم توان انجام کار بیمه می باشد و بعنوان مثال مبلغهای جبرانی بیمه درمانی به والدین وی پرداخت نشده بلکه به خود شخص جوان پرداخت می شوند,infopankki
17 years,17 سالگی,infopankki
right,حقوق,infopankki
compulsory education ends unless it has already been completed,در صورتیکه شخص جوان قبلا تحصیلات اجباری را باتمام نرسانیده باشد در این سن تحصیلات اجباری به پایان میرسد,infopankki
the right to child benefit ends,حق دریافت کمک هزینه فرزندان نیز در این سن به پایان میرسد,infopankki
a youth can apply for kelas financial aid for students,شخص جوان هفده ساله می تواند از اداره بیمه بازنشستگی ملی کمک هزینه تحصیلی درخواست کند,infopankki
their guardians income however affects the amount of this aid and whether it is granted in the first place,درامد والدین شخص جوان بر روی تعلق گرفتن کمک هزینه تحصیلی به او و مبلغ ان تاثیر می گذارد,infopankki
18 years,18 سالگی,infopankki
majority,رسیدن به سن کامل قانونی,infopankki
a person of age has the right to get married,فردی که به سن قانونی رسیده است از حقوق زیر برخوردار است حق ازدواج,infopankki
vote in national and municipal elections,حق رای در انتخابات دولتی و محلی,infopankki
acquire their own passport,حق دریافت پاسپورت شخصی,infopankki
join or leave a religion,حق ملحق شدن به یک فرقه مذهبی و یا جدا شدن از ان,infopankki
have control over the use of their own possessions,حق تصمیم گیری درباره استفاده از دارایی شخصی,infopankki
acquire a driving licence for example motorcycle car,حق گرفتن گواهینامه رانندگی مثلا گواهینامه رانندگی موتورسیکلت و اتومبیل سواری,infopankki
gain citizenship 1822 year old if they have lived in finland for an extended period,حق دریافت تابعیت بین سنین 22 18 سالگی اگر شخص مورد نظر بمدت طولانی در فنلاند زندگی کرده باشد از این حق برخوردار است,infopankki
obligation men are subject to compulsory conscription army or civil service,وظایف در مورد مردان از وظایف این سن رفتن به خدمت سربازی میباشد خدمت در ارتش و یا اریه خدمات اجتماعی جایگزین ان,infopankki
read more about the rights and obligations of people over the age of 18 on the infofinland web page your rights and obligations in finland,برای مطالعه دقیق تر درباره حقوق و وظایف افراد دارای سن قانونی به سایت اینترنتی و حقوق و وظایف شما در فنلاند مراجعه کنید,infopankki
the brochure childrens rightsfinnish swedish english russian,بروشور حقوق کودکانفنلاندی سویدی انگلیسی روسی,infopankki
own language own mindfinnish english russian estonian somali chinese persian arabic kurdish albanian german burmese bosnian,زبان خود فکر خودفنلاندی انگلیسی روسی استونیایی سومالیایی چینی فارسی عربی کردی البانیایی المانی برمه ای بوسنیایی,infopankki
if the child is not granted finnish citizenship,اگر کودک بدنیا امده تابعیت فنلاندی دریافت نکند,infopankki
a childs birth is registered at the hospital,تولد کودک در بیمارستان به ثبت می رسد,infopankki
when a child is born the hospital registers the birth in the finnish population information system and the child receives a temporary personal identity number,موقعی که کودک بدنیا می اید تولد او در بیمارستان در سیستم اطلاعات ثبت نفوس ثبت می شودو کودک شما شماره شناسایی موقتی دریافت می کند,infopankki
this is done if,این امر در شرایطی صورت می گیرد که,infopankki
the childs mother has a right of residence in finland,مادر کودک دارای حق اقامت فنلاند باشد,infopankki
the mothers municipality of residence is in finland,مادر کودک دارای شهروندی در فنلاند در فنلاند باشد و,infopankki
and the mother has a finnish personal identity number,مادر کودک دارای شماره شناسایی فنلاندی باشد,infopankki
if the mother has not been registered in finland the hospital can not register the birth and the local register office will not send the appropriate form to the mother,اگر مشخصات مادر کودک در فنلاند ثبت نشده باشد بیمارستان نمی تواند تولد کودک را به ثبت برساند و فرم مورد نظر از طرف اداره ثبت احوال برای مادر کودک ارسال نمی شود,infopankki
if this is the case please contact the local register office and ask for instructions on how to register your child,در چنین شرایطی با اداره ثبت احوال تماس گرفته و درخصوص نحوه به ثبت رساندن مشخصات کودک راهنمایی بگیرید,infopankki
read more about the mothers registration on the infofinland page registering as a resident,برای مطالعه بیشتر درباره نحوه به ثبت رساندن مشخصات مادر می توانید به و ثبت شدن بعنوان ساکن مراجعه کنید,infopankki
childs registration in the population information system,به ثبت رسیدن مشخصات کودک در سیستم اطلاعات ثبت نفوس,infopankki
the local register office will send a form to the mothers home within two weeks of the birth registration,پس از گذشت دو هفته از ثبت تولد کودک فرمی از طرف اداره ثبت احوال برای مادر کودک ارسال می شود,infopankki
this form is used to inform the authorities of the following,توسط این فرم می توانید موارد زیر را به مقامات اداری اطلاع دهید,infopankki
the childs registration in the population information system,ثبت مشخصات کودک در سیستم ثبت اطلاعات نفوس,infopankki
the childs names,اسامی کودک,infopankki
native language,زبان مادری,infopankki
religion,دین,infopankki
please fill in the form carefully and sign it,فرم مذکور را با دقت تکمیل کرده و ان را امضاا کنید,infopankki
if the childs parents are married both parents must sign the form,اگر والدین دارای ازدواج رسمی باشند هر دوی انها بایستی فرم مورد نظر را امضاا کنند,infopankki
return the form to the local register office within two months of the childs birth,فرم تکمیل شده را در عرض دو ماه بعد از تولد کودک به اداره ثبت احوال بازگردانید,infopankki
you can send the form by post or take it to the local register office of your area of residence in person,می توانید فرم تکمیل شده را از طریق پست و یا با مراجعه شخصی به اداره ثبت احوال منطقه سکونت خود بازگردانید,infopankki
you child will not be registered in the population information system before this,پس از بازگرداندن فرم تکمیل شده مشخصات فرزند شما در سیستم ثبت اطلاعات نفوس به ثبت می رسد,infopankki
childs name,نام کودک,infopankki
finland has a names act according to the act all persons with a place of residence in finland must have a last name and 14 first names,در فنلاند قانون نام وجود دارد بر اساس این قانون همه افرادی که ساکن فنلاند هستند باید نام خانوادگی و 4 1 نام داشته باشند,infopankki
the first names must be compliant with the finnish names act,نام کوچک انها بایستی مطابق با قوانین نام افراد در فنلاند باشد,infopankki
for example siblings may not be given the same first name,مثلا نباید اولین نام کوچک فرزندان یک خانواده یکسان باشد,infopankki
a child receives the last name from hisher parents,کودک نام خانوادگی خود را از والدینش می گیرد,infopankki
when the parents have a common last name that becomes the childs last name,در مواقعی که نام خانوادگی والدین مانند هم باشد نام خانوادگی کودک نیز همان خواهد شد,infopankki
if the parents have different last names the childs last name will depend on the situation,در شرایطی که نام خانوادگی والدین کودک متفاوت باشد نام خانوادگی کودک بسته به شرایط تعیین می شود,infopankki
if the parents are married they can choose either spouses last name for their child,در صورتی که والدین کودک با هم ازدواج کرده باشند می توانند نام خانوادگی هر کدام از والدین را برای فرزند خود انتخاب نمایند,infopankki
if the parents are not married the child can have either the mothers last name or fathers last name if paternity has been confirmed,در صورتی که والدین کودک با هم ازدواج نکرده باشند کودک می تواند یا نام خانوادگی مادر را بگیرد و یا در صورتی که رابطه پدری تایید شده باشد نام خانوادگی پدر را بگیرد,infopankki
read more about the confirmation of paternity in section recognition of paternity on this page,مطالعه بیشتر درباره تایید رابطه پدری در این صفحه و در قسمت مربوط به تایید رساندن رابطه پدری,infopankki
if the parents last name is a double last name formed by combining their last names that becomes the childs last name,در صورتی که نام خانوادگی والدین یک نام خانوادگی ترکیبی باشد نام خانوادگی کودک هم همان خواهد بود,infopankki
if the parents have previous children together the underage siblings must have the same last name,اگر والدین از قبل دارای فرزندان مشترک باشند فرزندان زیر سن قانونی انها بایستی دارای نام خانوادگی یکسان باشند,infopankki
if the parents are divorced the childs guardian will decide the last name,اگر والدین کودک از هم جدا شده اند سرپرست کودک درباره نام او تصمیم میگرد,infopankki
in the event that the parents fail to agree upon the childs last name the child will receive the mothers last name,در صورتی که والدین نتوانند در مورد نام خانوادگی فرزندشان به توافق برسند فرزند انها نام خانوادگی مادرش را خواهد گرفت,infopankki
names actfinnish swedish,قانون نامفنلاندی سویدی,infopankki
childs native language,زبان مادری کودک,infopankki
when a child is born a native language must be registered for himher,هنگامی که کودکی متولد می شود باید برای او یک زبان مادری ثبت نمود,infopankki
it is mandatory to register a native language,ثبت زبان مادری اجباریست,infopankki
you can choose only one language as your childs native language,می توانید فقط یک زبان را به عنوان زبان مادری کودک انتخاب کنید,infopankki
you can change the language later if you wish,اگر بعدا بخواهید می توانید زبان انتخاب شده را تغییر دهید,infopankki
it is a good idea to think about what language you want to register for your child,خوب است فکر کنید که چه زبانی را می خواهید برای کودکتان ثبت نمایید,infopankki
it may affect what language the child can study at school,این موضوع ممکن است بر روی این که کودک چه زبانی بتواند در مدرسه تحصیل کند تاثیر بگذارد,infopankki
children whose native language is something other than finnish or swedish will study finnish or swedish as a foreign language ie s2 teaching,ان کودکانی که زبان مادری انها زبانی غیر از فنلاندی یا سویدی است زبان فنلاندی یا سویدی را به عنوان زبان دوم یعنی در کلاس 2 می اموزند,infopankki
your child can also study hisher native language if it is registered as something other than finnish or swedish,علاوه بر این در صورتی که زبانی غیر از زبان فنلاندی یا سویدی به عنوان زبان مادری فرزند شما ثبت گردیده باشد او می تواند زبان مادری خود را نیز اموزش ببیند,infopankki
studying the native language is voluntary,اموزش زبان مادری اختیاریست,infopankki
own language own mindpdf 78988 kbfinnish,789 88 فنلاندی,infopankki
childs religion,دین و مذهب کودک,infopankki
the childs religion is a matter to be decided inside the family,دین و مذهب کودک موضوع خصوصی خانواده,infopankki
you have the right to decide the religion to which the child belongs,خود شما می توانید درباره دین فرزند خود تصمیم بگیرید,infopankki
registering a religion is not mandatory,اجباری در اطلاع دادن دین کودک نیست,infopankki
if one of the parents is the childs sole guardian he or she can decide the childs religion,اگر یکی از والدین کودک تک سرپرست کودک باشد او می تواند به تنهایی درباره دین کودک تصمیم بگیرد,infopankki
freedom of religionfinnish swedish english,ازادی دینفنلاندی سویدی انگلیسی,infopankki
children and youths freedom of religionfinnish,ازادی دین برای کودکان و جوانانفنلاندی,infopankki
what citizenship does the child gain,کودک چه نوع تابعیتی را دریافت می کند,infopankki
the childs citizenship is dependent on the citizenship of the parents,نوع تابعیت کودک بستگی به نوع تابعیت والدین او دارد,infopankki
a newborn child is granted finnish citizenship if,کودک بعد از تولد در شرایط زیر می تواند تابعیت فنلاند را دریافت کند,infopankki
the childs father is a finnish citizen and the parents are married,پدر کودک دارای تابعیت فنلاندی است و والدین دارای ازدواج رسمی هستند,infopankki
the childs father is a finnish citizen the child is born in finland out of wedlock and the fathers paternity is confirmed,پدر کودک دارای تابعیت فنلاندی است کودک در فنلاند در خارج از رابطه ازدواج رسمی به دنیا امده است و رابطه پدری به تایید می رسد,infopankki
the childs father has died before childbirth but he was a finnish citizen and married to the childs mother upon his death or,پدر کودک قبل از به دنیا امدن کودک فوت کرده است ولی هنگام فوت دارای تابعیت فنلاندی و ازدواج رسمی با مادر کودک بوده است یا,infopankki
the childs father has died before childbirth the child is born in finland out of wedlock and the fathers paternity has been confirmed,پدر کودک قبل از به دنیا امدن کودک فوت کرده است کودک در فنلاند در خارج از رابطه ازدواج رسمی به دنیا امده است و رابطه پدری مرد به تایید می رسد,infopankki
the child will also be granted finnish citizenship if he or she is born in finland and does not gain the citizenship of any other state from the parents,همچنین زمانی که کودک در فنلاند به دنیا می اید و از والدین خود تابعیت هیچ کشور دیگری را دریافت نمی کند می تواند تابعیت فنلاند را دریافت کند,infopankki
in these cases the finnish immigration service determines the childs citizenship,در چنین شرایطی اداره مهاجرت نوع تابعیت کودک را تعیین می کند,infopankki
a child may be a finnish citizen and the citizen of another country at the same time,کودک می تواند در عین حال دارای تابعیت فنلاند و کشور دیگری نیز باشد,infopankki
this depends on whether or not the other country in question accepts multinationality,این امر بستگی به این دارد که ایا کشور دوم داشتن تابعیت چند گانه را می پذیرد,infopankki
ask the diplomatic mission of your country about the matter,در این خصوص از نمایندگی یا سفارت کشور خود سوال کنید,infopankki
read more about finnish citizenship on the infofinland page finnish citizenship,مطالعه بیشتر درباره تابعیت فنلاند از و تابعیت فنلاند,infopankki
finnish citizenship for the child of a finnish manfinnish swedish english,تابعیت کشور فنلاند برای فرزند مرد فنلاندیفنلاندی سویدی انگلیسی,infopankki
if the child is not granted finnish citizenship,اگر کودک بدنیا امده تابعیت فنلاندی را دریافت نکند,infopankki
if your child is not granted finnish citizenship upon birth obtain a passport for him or her from the diplomatic mission of your native country,اگر کودک بعد از تولد تابعیت فنلاندی را دریافت نکند برای او از سفارت کشور خود پاسپورت درخواست کنید,infopankki
you will need the childs birth certificate from the local register office for this purpose,برای این منظور به دریافت شناسنامه کودک از اداره ثبت احوال نیاز دارید,infopankki
read more about the diplomatic missions of other countries in finland on the infofinland page embassies in finland,با مراجعه به و سفارتخانه ها در فنلاند اطلاعاتی را درباره نمایندگی های کشورهای دیگر در فنلاند دریافت می کنید,infopankki
after this your child will require a residence permit or registration of an eu citizens right of residence,سپس کودک شما نیاز به ثبت شدن اجازه اقامت و یا حق اقامت اتباع کشورهای عضو اتحادیه اروپا را دارد,infopankki
if the child is granted the citizenship of an eu country apply for a registration of an eu citizens right of residence for him or her through the finnish immigration services digital enter finland service or by visiting a service point of the finnish immigration service,اگر کودک بتواند تابعیت یکی از کشورهای اتحادیه اروپا را دریافت کند برای او از طریق خدمات الکترونیکی اداره مهاجرت و یا با مراجعه به مرکز خدمات اداره مهاجرت ثبت حق اقامت اتباع کشورهای عضو اتحادیه اروپا را درخواست کنید,infopankki
if the child is granted the citizenship of some other country apply for a residence permit for him or her through the finnish immigration services digital enter finland service or by visiting a service point of the finnish immigration service,اگر کودک بتواند تابعیت کشور دیگری را دریافت کند برای او از طریق خدمات الکترونیکی اداره مهاجرت و یا با مراجعه به مرکز خدمات اداره مهاجرت اجازه اقامت درخواست کنید,infopankki
childs social security,تامین اجتماعی کودک,infopankki
children who are covered by finnish social security will receive a kela card ie a national health insurance card,اگر کودک مربوط به تامینات اجتماعی فنلاند می باشد او کارت و یا کارت بیمه درمانی اجتماعی را دریافت می کند,infopankki
kela will send the card to the childs home once he or she has been provided with a personal identity number and name,پس از اینکه شماره شناسایی و نام کودک تعیین شد ادراه کارت مذکور را به خانه کودک ارسال می کند,infopankki
you must apply for family benefits from kela separately,شما بایستی به طور جداگانه مزایای خانوادگی را از اداره درخواست کنید,infopankki
read more about the subject on the infofinland pages support for pregnant women and benefits for a family after a child is born,برای مطالعه بیشتر درباره این موضوع به و کمک های مخصوص مادران باردار و کمک پس از تولد کودک مراجعه کنید,infopankki
recognition of paternity,تشخیص و معین کردن پدر کودک,infopankki
if the parents are married paternity does not need to be separately recognised,اگر والدین کودک دارای ازدواج رسمی باشند در این صورت نیازی به تشخیص و معین کردن پدر نیست,infopankki
if the childs mother and father are not married and paternity is not recognised the child will be deemed fatherless for official purposes,اگر مادر و پدر کودک دارای ازدواج رسمی نبوده و پدر کودک مشخص نگردد در این صورت کودک مورد نظر رسما بدون پدر قلمداد می شود,infopankki
fatherhood can be recognised during pregnancy at the maternity and child health clinic or after birth by visiting the municipal child welfare officer,تشخیص و معین کردن پدر می تواند حتی در طول دوران بارداری در کلینیک یا مرکز بهداشت مادران باردار و یا بعد از تولد کودک و در نزد کارمند ناظر بر حقوق اطفال شهرتان خود شما صورت گیرد,infopankki
if the paternity is recognised before birth the processing of the matter will not begin until 30 days have passed from the childs birth,چنانکه تشخیص و معین کردن پدر قبل از به دنیا امدن کودک درخواست شود بررسی ان پس از گذشت 30 روز از تاریخ تولد کودک اغاز می شود,infopankki
the recognition of paternity will be confirmed by the local register office,اداره ثبت احوال رابطه پدری را به ثبت می رساند,infopankki
read more on the infofinland page commonlaw relationship,مطالعه بیشتر در این باره از وزندگی زناشویی بدون ازدواج رسمی,infopankki
a child must have a guardian,کودک بایستی دارای سرپرست باشد,infopankki
in finland a person under the age of 18 is legally a child,در فنلاند فرد دارای زیر سن 18 سال قانونا طفل به حساب می اید,infopankki
persons under 18 years of age must always have at least one guardian,افراد زیر 18 سالهمواره بایستی حداقل یک سرپرست داشته باشند,infopankki
usually the childs parents are the guardians,معمولا والدین خود کودک سرپرست او می باشند,infopankki
both parents of a child born in wedlock are regarded as the guardians,سرپرست کودکانی که در رابطه زناشویی توام با ازدواج رسمی به دنیا امده اند هر دوی والدین انها می باشند,infopankki
if the parents are not married and paternity has not been recognised the childs guardian is the mother who is the sole decider of the childs affairs,اگر والدین کودک دارای ازدواج رسمی نباشند و پدر کودک نیز مشخص نشده باشد مادر کودک سرپرست او به حساب امده و به تنهایی درباره کلیه موضوعات کودک تصمیم گیری می کند,infopankki
in other words the mother makes the decisions regarding the child even if the parents live together,بنابراین حتی اگر والدین کودک با هم زندگی کنند فقط مادر کودک به تنهایی درباره موضوعات کودک تصمیم می گیرد,infopankki
the father will be granted custody if the parents agree upon joint custody and the paternity has been recognised,چنانکه والدین کودک در خصوص سرپرستی مشترک کودک مابین خود توافقنامه امضاا کرده و رابطه پدری نیز مشخص شده باشد دراین صورت پدر کودک نیز سرپرست کودک محسوب می شود,infopankki
the custody agreement is completed before the childs birth at the maternity and child health clinic or after birth by visiting the municipal child welfare officer,توافقنامه سرپرستی یا قبل از تولد کودک و در کلینیک یا مرکز بهداشت خانم های باردار و یا پس از تولد کودک و در نزد کارمند ناظر بر حقوق اطفال شهرستان خود شما تنظیم می شود,infopankki
basic education,تحصیلات مقطع ابتدایی,infopankki
preschool education,دوره اموزش پیش دبستانی,infopankki
preschool education is education intended for children aged 6 and provided at daycare centres,اموزش پیش دبستانی دوره ای اموزشی است که اختصاص به کودکان 6 ساله داشته و در مهد کودک ها برنامه ریزی میشود,infopankki
it provides children with skills preparing them for comprehensive school,کودک در دوره پیش دبستانی مهارتهایی را کسب میکند که او را برای تحصیلات مقطع ابتدایی اماده میسازد,infopankki
preschool education is usually provided before noon and the child can continue in day care in the afternoon,اموزشهای پیش دبستانی معمولا در طول صبح می باشند و کودک می تواند در طول بعدازظهر در مهد کودک باشد,infopankki
preschool education starts in august with registration in february,ثبت نام برای دوره پیش دستانی که در ماه اگوست اغاز میشود در ماه فوریه صورت میگیرد,infopankki
more information is provided in letters to children reaching preschool age on the day care website and in the local newspaper,درباره این موضوع به کودکانی که در شرف ورود به دوره پیش دبستانی هستند از طریق نامه وب سایت مهد کودک و توسط روزنامه های محلی اطلاع داده میشود,infopankki
all children applying for preschool must submit an application for preschool education,تمامی متقاضیان دوره پیش دبستانی بایستی درخواست دوره پیش دبستانی خود را تحویل دهند,infopankki
this can be done either electronically or using an application form,ثبت نام برای دوره پیش دبستانی را میتوان از طریق اینترنت و یا تکمیل برگه درخواست انجام داد,infopankki
multicultural day care,مراقبتهای روزانه چند فرهنگه,infopankki
for the city of rovaniemi multicultural day care means treating all children equally and fairly regardless of their age gender and skin colour,مراقبتهای روزانه چند فرهنگه در شهرستان روانیمی به این معنی می باشد که تمامی کودکان بطور یکسان و عادلانه و بدون توجه به سن جنسیت و رنگ پوستشان مورد توجه قرار می گیرند,infopankki
the city strives to apply the principle of local service in the provision of day care for each child,در مورد دریافت خدمات مراقبت روزانه در مورد تمامی کودکان هدف دریافت اینگونه خدمات از مراکز نزدیک می باشد,infopankki
in day care the child gets to know finnish culture learn finnish and act as part of a social group,در طول مراقبتهای روزانه کودک با فرهنگ فنلاند اشنا شده زبان فنلاندی را اموخته و در گروههای اجتماعی فعالیت می نماید,infopankki
a foreignlanguage family is entitled to interpreting services as necessary,خانواده های خارجی زبان درصورت نیاز حق استفاده از خدمات ترجمه را دارند,infopankki
day care cooperates with the immigration office in matters relating to the child and the family,مسیولین مهد کودک در مورد موضوعات مربوط به خانواده با اداره مهاجرین همکاری می کنند,infopankki
when the child begins day care the information about the immigrant child form is completed with the family,وقتی که مراقبت از کودک در مهد کودک اغاز میشود کارمندان مهد کودک با کمک و همکاری خانواده برگه ای را تحت عنوان برگه اطلاعات مربوط به کودک مهاجر تکمیل می کنند,infopankki
basic education,تحصیلات مقطع ابتدای,infopankki
registration for comprehensive school,ثبت نام برای تحصیلات مقطع ابتدایی,infopankki
in the city of rovaniemi there are 23 comprehensive schools with grades 16 the teacher training school of the university of lapland,در شهرستان روانیمی 23 مدرسه دارای کلاسهای 6 1 مدرسه ای زیر نظر دانشگاه و مدرسه و مدرسه خصوصی تحت عنوان فعالیت می نمایند,infopankki
the city of rovaniemis school services have been divided into four areas which are also the school catchment areas within whose limits the pupils local school is determined,خدمات اموزشی شهرستان روانیمی به چهار ناحیه تقسیم شده اند که بعنوان نواحی پذیرش دانش اموز نیز عمل می کنند و مدرسه نزدیک به دانش اموز نیز بر اساس این تقسیم بندی ناحیه ای تعیین میشود,infopankki
in most cases the local school is the school closest to the pupils home,مدرسه نزدیک به دانش اموز در اصل نزدیکترین مدرسه به خانه او میباشد,infopankki
registration for comprehensive school takes place by visiting or phoning the school indicated in the letter sent to the home of each child starting school,ثبت نام برای تحصیلات مقطع ابتدایی در مدرسه که از طریق نامه به تمامی کودکانی که دبستان را اغاز می کنند اطلاع داده شده است و یا از طریق تماس تلفنی با مدرسه صورت میگیرد,infopankki
immigrant education,اموزش مهاجرین,infopankki
immigrant pupils mainly use normal comprehensive school and upper secondary school services,اکثریت دانش اموزان مهاجر از خدمات نرمال مدارس مقطع ابتدایی و دبیرستان استفاده می کنند,infopankki
preparatory education for comprehensive school which normally takes a year is organised for children who have recently moved to the country,برای دانش اموزانی که به تازگی به کشور فنلاند مهاجرت کرده اند دوره اموزشی اماده سازی برای ورود به مقطع ابتدایی برنامه ریزی میشود که معمولا یکسال طول میکشد,infopankki
for pupils who are recent immigrants there is a preparatory grade at keskusta school,برای دانش اموزانی که به تازگی به فنلاند مهاجرت کرده اند کلاسهای تطبیقی و اماده سازی در مدرسه ای واقع در مرکز شهر برنامه ریزی شده است,infopankki
after this the immigrant pupils will relocate to a finnishspeaking class at their local school,پس از اتمام این دوره دانش اموزان مهاجر را به کلاسهای معمولی فنلاندی و واقع در مدرسه نزدیک خانه انها انتقال می دهند,infopankki
special features of teaching,ویژگیهای خاص اموزش,infopankki
native language education is provided in russian as well as other languages where possible,اموزش به زبان مادری دانش اموزان به زبان روسی و بسته به امکانات موجود به دیگر زبانها نیز ارایه میشود,infopankki
finnish is taught as a foreign language aiming at working bilingualism,زبان فنلاندی نیز بعنوان زبان خارجی و به هدف عملی کردن تحصیلات دانش اموزان دو زبانه اموزش داده میشود,infopankki
pupils not participating in teaching of the majority religion receive teaching in their own religion if their parentsguardians require this and there are at least three pupils of the same denomination,برای حداقل سه دانش اموزی که از شرکت کردن در کلاسهای درس دینی مسیحیت ازاد شده اند میتوان در صورت خواست والدین این دانش اموزان برای انها اموزش درس دینی خود انها را برنامه ریزی کرد,infopankki
immigrant pupils are primarily evaluated in accordance with the general evaluation criteria for comprehensive school taking account of each pupils starting point,ارزیابی دانش اموزان مهاجر با در نظر گرفتن شرایط دانش اموز و بر اساس معیارهای عمومی ارزیابی دانش اموزان مقطع ابتدایی صورت میگیرد,infopankki
in their first three years in the country immigrant pupils receive remedial education specially intended for them,به دانش اموزان مهاجر در طی سه سال اول مهاجرتشان اموزشهای جداگانه تقویتی خاص انها ارایه میشود,infopankki
also entitled to such remedial education are new pupils,همچنین دانش اموزانی که تازه وارد مدرسه شده اند نیز حق دریافت اموزش تقویتی را دارند,infopankki
other support measures at comprehensive school are other remedial education special education personal learning plans flexible evaluation curriculum development learning material development and pupil welfare,از جمله اقدامات حمایتی دیگری که در مقطع ابتدایی بکار گرفته میشوند اموزشهای تقویتی دیگر مدرسه اموزشهای ویژه برنامه های اموزشی مختص هر دانش اموز ارزیابی توام با ارفاق و انعطاف پیشرفت دادن برنامه های اموزشی پیشرفت و بهبود مواد درسی و اقدامات مراقبتی از دانش اموزان می باشد,infopankki
immigrant educationfinnish,اموزش دانش اموزان مهاجر,infopankki
preparatory vocational education,دوره اموزشی اماده سازی برای تحصیلات حرفه ای,infopankki
lapland vocational college offers preparatory education for immigrants who wish to obtain vocational education,دوره اموزشی که در دانشسرای حرفه ای لاپلند ارایه میشود به مهاجرینی اختصاص دارد که میخواهند به تحصیلات حرفه ای راه یابند,infopankki
lapland vocational collegefinnish english,دانشسرای حرفه ای لاپلندفنلاندی انگلیسی,infopankki
immigrant education at rovalaopisto,دوره اموزشی مخصوص مهاجرین در دانشسرای,infopankki
